RANK THIS WEEK_x,RANK LAST WEEK_x,PLAYER NAME,ROUNDS_x,AVG.,TOTAL DISTANCE,TOTAL DRIVES,RANK THIS WEEK_y,RANK LAST WEEK_y,ROUNDS_y,%_x,FAIRWAYS HIT,POSSIBLE FAIRWAYS,RANK THIS WEEK_x,RANK LAST WEEK_x,ROUNDS_x,%_y,GREENS HIT_x,# HOLES,RELATIVE/PAR,RANK THIS WEEK_y,RANK LAST WEEK_y,ROUNDS_y,AVG_x,GIR PUTTS,GREENS HIT_y,BIRDIE CONVERSION,GIR RANK,RANK THIS WEEK,RANK LAST WEEK,ROUNDS,AVG_y,TOTAL PUTTS,TOTAL ROUNDS,LOW TOTAL PUTTS
180,181,Chris Baker,37,288.5,21351,74,27,33,37,67.7,350,517,90,114,37,67.72,451,666,-0.22,218,214,37,1.829,825,451,23.83,,T220,T215,37,30.19,1117,37,25
181,T178,Scott Brown,46,288.3,26519,92,17,20,46,68.58,441,643,196,T173,46,63.53,526,828,-0.25,T148,T152,46,1.781,937,526,28.24,,125,T132,46,29.11,1339,46,23
182,182,Fabián Gómez,43,288.2,24784,86,39,41,43,66.22,398,601,118,143,43,66.8,517,774,-0.28,T88,T94,43,1.758,909,517,28.46,,T82,75,43,28.84,1240,43,23
183,180,J.T. Poston,46,288.1,21897,76,94,86,46,62.73,404,644,T119,T111,46,66.67,552,828,-0.31,11,T8,46,1.714,946,552,33.09,,T28,T32,46,28.39,1306,46,23
T184,T175,Tom Hoge,42,288.0,24195,84,83,T91,42,63.2,371,587,T141,151,42,66.01,499,756,-0.29,T67,48,42,1.7519999999999998,874,499,32.33,,T30,T10,42,28.4,1193,42,24
T184,T178,Brian Gay,45,288.0,25920,90,155,139,45,58.19,366,629,171,T144,45,64.69,524,810,-0.31,7,T4,45,1.7080000000000002,895,524,33.21,,13,T13,45,28.2,1269,45,23
186,183,Russell Henley,35,287.9,20153,70,75,82,35,63.67,312,490,25,34,35,70.63,445,630,-0.24,T156,T152,35,1.784,794,445,24.72,,164,T150,35,29.43,1030,35,26
187,T185,Michael Thompson,32,287.7,18412,64,55,59,32,65.1,291,447,T169,T188,32,64.76,373,576,-0.25,T175,T170,32,1.794,669,373,27.42,,T122,T113,32,29.09,931,32,25
T188,T187,Chris Kirk,15,287.6,8628,30,76,83,15,63.64,133,209,T73,T93,15,68.15,184,270,-0.2,T221,T217,15,1.8319999999999999,337,184,25.14,,225,220,15,30.27,454,15,27
T188,173,Kevin Na,42,287.6,19557,68,99,T98,42,62.52,367,587,T177,154,42,64.55,488,756,-0.31,T27,T19,42,1.73,844,488,33.06,,12,T10,42,28.19,1184,42,24
190,189,Jason Dufner,34,287.3,19535,68,43,49,34,65.89,313,475,T141,T163,34,66.01,404,612,-0.19,224,T220,34,1.834,741,404,24.26,,T176,T166,34,29.53,1004,34,24
191,190,Aaron Baddeley,33,286.8,18931,66,T111,113,33,61.39,283,461,161,181,33,65.15,387,594,-0.3,T37,T45,33,1.739,673,387,32.56,,T28,T26,33,28.39,937,33,25
192,T187,Nate Lashley,34,286.6,16621,58,78,80,34,63.6,304,478,148,131,34,65.85,403,612,-0.29,T84,T72,34,1.757,708,403,29.32,,T115,T117,34,29.03,987,34,23
193,191,Peter Malnati,39,286.2,22320,78,204,204,39,53.39,291,545,225,225,39,60.68,426,702,-0.3,T20,T22,39,1.725,735,426,33.25,,3,2,39,27.74,1082,39,23
194,192,C.T. Pan,28,285.8,11431,40,160,161,28,57.73,224,388,T119,135,28,66.67,336,504,-0.18,227,T220,28,1.848,621,336,23.81,,T216,T205,28,30.07,842,28,25
195,T196,Graeme McDowell,28,285.4,13128,46,97,56,28,62.69,247,394,189,168,28,64.09,323,504,-0.27,T97,105,28,1.7619999999999998,569,323,29.41,,118,T119,28,29.04,813,28,22
T196,T194,Tim Wilkinson,32,285.3,18257,64,10,13,32,69.8,312,447,117,142,32,66.84,385,576,-0.28,T80,T85,32,1.756,676,385,29.09,,T78,T71,32,28.81,922,32,22
T196,T194,Arjun Atwal,21,285.3,11984,42,T64,68,21,64.51,189,293,T177,195,21,64.55,244,378,-0.21,T221,T217,21,1.8319999999999999,447,244,26.34,,T197,T193,21,29.76,625,21,26
198,T185,Andrew Putnam,30,285.2,10267,36,110,108,30,61.54,256,416,96,T75,30,67.59,365,540,-0.27,T91,T88,30,1.7590000000000001,642,365,29.59,,T76,T86,30,28.8,864,30,23
199,T196,Chris Stroud,30,285.1,17107,60,154,158,30,58.23,244,419,194,204,30,63.7,344,540,-0.26,T123,T118,30,1.77,609,344,30.23,,T56,55,30,28.67,860,30,22
200,193,Kevin Kisner,35,284.9,15386,54,28,36,35,67.69,331,489,188,158,35,64.13,404,630,-0.26,T141,T129,35,1.78,719,404,28.04,,60,T76,35,28.69,1004,35,25
201,199,Ben Crane,17,284.8,9682,34,21,25,17,68.49,163,238,T20,T28,17,70.92,217,306,-0.24,T123,T118,17,1.77,384,217,25.81,,T151,T143,17,29.35,499,17,25
202,200,Michael Kim,14,284.6,5691,20,206,205,14,53.06,104,196,219,219,14,61.51,155,252,-0.18,T221,T217,14,1.8319999999999999,284,155,23.87,,T142,T132,14,29.29,410,14,23
203,184,Ian Poulter,18,284.3,4548,16,T148,112,18,58.47,145,248,227,T202,18,60.19,195,324,-0.27,T105,T118,18,1.764,344,195,27.69,,19,T32,18,28.28,509,18,21
204,T207,Rory Sabbatini,42,284.1,19321,68,104,T101,42,62.16,363,584,98,T84,42,67.46,510,756,-0.25,178,169,42,1.796,916,510,28.49,,154,T129,42,29.36,1233,42,24
T205,T201,Ricky Barnes,28,283.9,15900,56,219,218,28,51.15,200,391,223,223,28,60.91,307,504,-0.28,T55,T61,28,1.749,537,307,31.27,,4,3,28,27.86,780,28,25
T205,T201,Kevin Stadler,20,283.9,11355,40,T172,T177,20,56.63,158,279,220,220,20,61.39,221,360,-0.14,231,228,20,1.8869999999999998,417,221,25.79,,231,228,20,31.0,620,20,26
T205,T201,Johnson Wagner,19,283.9,10789,38,9,9,19,70.19,186,265,68,T84,19,68.42,234,342,-0.23,T172,167,19,1.791,419,234,24.46,,T155,148,19,29.37,558,19,25
T208,T204,Chad Campbell,15,283.8,8514,30,4,4,15,73.21,153,209,T65,T80,15,68.52,185,270,-0.24,177,172,15,1.795,332,185,27.17,,T167,T156,15,29.47,442,15,26
T208,T204,Roberto Castro,23,283.8,13053,46,T18,T21,23,68.54,220,321,T63,T77,23,68.6,284,414,-0.2,T219,T215,23,1.831,520,284,23.32,,207,202,23,29.91,688,23,24
210,206,J.J. Henry,19,283.7,10782,38,47,53,19,65.66,174,265,T76,T96,19,68.13,233,342,-0.17,228,225,19,1.85,431,233,21.65,,226,T221,19,30.32,576,19,26
T211,T207,Zach Johnson,33,283.4,18703,66,87,67,33,62.99,291,462,131,79,33,66.33,394,594,-0.27,T95,T88,33,1.761,694,394,29.19,,T74,T86,33,28.79,950,33,24
T211,T196,Rob Oppenheim,49,283.4,27776,98,101,90,49,62.48,428,685,179,T132,49,64.51,569,882,-0.24,174,168,49,1.7930000000000001,1020,569,26.73,,T88,T86,49,28.86,1414,49,20
213,209,Kyle Stanley,37,283.3,20965,74,12,15,37,69.31,359,518,23,33,37,70.72,471,666,-0.24,171,166,37,1.79,843,471,28.24,,T197,T193,37,29.76,1101,37,26
214,210,David Hearn,39,283.2,22089,78,25,31,39,68.07,371,545,T84,T109,39,67.81,476,702,-0.27,T52,T57,39,1.7480000000000002,832,476,29.68,,T84,T76,39,28.85,1125,39,22
215,212,Matt Kuchar,28,282.7,15830,56,13,17,28,69.11,273,395,104,T128,28,67.26,339,504,-0.3,T33,T38,28,1.735,588,339,31.66,,T44,44,28,28.54,799,28,22
216,213,Alex Cejka,23,282.6,12999,46,T18,T21,23,68.54,220,321,130,150,23,66.43,275,414,-0.2,215,T211,23,1.825,502,275,23.27,,133,T119,23,29.17,671,23,24
217,214,Chez Reavie,45,282.5,18646,66,8,8,45,70.91,446,629,100,124,45,67.41,546,810,-0.25,T156,T152,45,1.784,974,546,26.75,,T122,T113,45,29.09,1309,45,24
218,211,Jim Herman,36,282.4,20332,72,15,11,36,69.03,350,507,T210,191,36,62.5,405,648,-0.2,225,222,36,1.84,745,405,25.19,,212,T221,36,29.97,1079,36,22
219,215,Ryan Armour,36,282.3,20326,72,2,2,36,74.95,377,503,78,T99,36,68.06,441,648,-0.24,T168,T163,36,1.7890000000000001,789,441,29.32,,196,192,36,29.75,1071,36,24
220,T217,Brian Stuard,53,281.6,27598,98,6,5,53,72.33,536,741,183,T177,53,64.26,613,954,-0.28,T48,T63,53,1.7469999999999999,1071,613,30.23,,T35,T46,53,28.47,1509,53,23
T221,216,Vaughn Taylor,47,281.5,21957,78,22,19,47,68.45,447,653,187,162,47,64.18,543,846,-0.33,10,T11,47,1.7109999999999999,929,543,33.95,,8,T8,47,28.11,1321,47,24
T221,T217,Tyler Duncan,45,281.5,25336,90,11,14,45,69.35,439,633,T119,118,45,66.67,540,810,-0.28,T116,T101,45,1.767,954,540,28.81,,T129,T122,45,29.16,1312,45,23
223,219,Jim Furyk,19,281.4,10695,38,1,1,19,80.38,213,265,1,1,19,76.32,261,342,-0.24,T168,T163,19,1.7890000000000001,467,261,26.44,,227,223,19,30.42,578,19,27
224,222,K.J. Choi,17,280.6,7295,26,3,3,17,74.68,177,237,47,59,17,69.28,212,306,-0.18,229,226,17,1.858,394,212,24.17,,219,214,17,30.18,513,17,26
225,223,Ben Martin,28,279.9,15675,56,T72,T76,28,63.94,250,391,147,T166,28,65.87,332,504,-0.29,T59,T63,28,1.75,581,332,30.12,,T54,52,28,28.64,802,28,24
226,221,Brendon Todd,48,279.8,26860,96,5,6,48,72.34,489,676,138,91,48,66.2,572,864,-0.29,T30,T31,48,1.7309999999999999,990,572,31.7,,6,6,48,27.98,1343,48,23
227,225,Zac Blair,48,279.5,26833,96,89,88,48,62.89,422,671,T210,196,48,62.5,540,864,-0.29,T67,T78,48,1.7519999999999998,946,540,32.28,,15,T28,48,28.23,1355,48,20
228,,Steve Stricker,16,279.4,8941,32,63,,16,64.57,144,223,230,,16,52.43,151,288,-0.26,T78,,16,1.755,265,151,26.67,,1,,16,27.56,441,16,22
229,226,Luke Donald,18,278.1,10013,36,T146,T153,18,58.57,147,251,203,209,18,63.27,205,324,-0.3,T23,T27,18,1.7269999999999999,354,205,31.71,,33,T34,18,28.44,512,18,25
230,227,Satoshi Kodaira,31,276.8,14946,54,20,23,31,68.53,294,429,222,222,31,61.29,342,558,-0.18,226,223,31,1.845,631,342,20.82,,215,211,31,30.06,932,31,25
231,228,David Lingmerth,19,275.4,10467,38,23,27,19,68.3,181,265,42,52,19,69.59,238,342,-0.24,T153,T147,19,1.7819999999999998,424,238,26.89,,191,185,19,29.68,564,19,24
